"","text"
"1","oposisicerdas kalo dana nya masih banyak yg blom kepake buruan dihabisi duitnya mumpung pak jokowi masih presiden nyesel ntar bego lagi"
"2","helmifelis sak cangkem cangkem mu liz ora ono dampak eee nggo pendukunge jokowimalah semakin solid diolehi kowe el nyangkem soal jokowi"
"3","pdjamanow tberdesa jokowi halimiskandarnu gumintost nurnaqu ahmadmoker aminudinfahrud cilin prisidin rimbitnyi pitih pitih li mis "
"4","ide sampah relawan projo presiden jokowi periode sampah demokrasi "
"5","bambang demangsinuhun restycayah jokowi ya kalo di lihat dr konstitusi ga boleh tapi apa boleh buat namanya juga penguasa kekuatan nya ada di tangan mereka apalagi oligarki ada di belakang mereka cuman pertanyaan apakah ada keuntungan nya buat km mas bambang kalo jokowi periode"
"6","miduk jgnkan anis baswedan ir soekarno sd jokowi jelss memdukung palestina merdeka sesuai konstitusi yg berlaku ri yg hrs di hindari itu capres pendukung lgbt laknatullah pembawa bencana di seluruh indonesia duk bong "
"7","kaeluvsz petualangan jokowi"
"8","agusta puthutea jokowi ga heran akun berbendera"
"9","bobbietrussell ridwana maryshelparaiso mantap terima kasih pak jokowi salam dari surabaya jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"10","jakarta presiden joko widodo melakukan kunjungan di jalan nasional cugenang cijedil desa palalangon pasca terjadinya bencana alam gempa bumi smashnews beritaterbaru beritaterkini beritaterupdate kabarterbaru gempabumi presidenjokowi bencanaalam "
"11","jokowi rakyat setiap kamis sore selalu datang di depan istana tak pernah ditemui kok bicara juta rakyat indonesia yg di depan istana aja dr yg awalnya di depam pagar semakin di geser sampai seberang jalan itu pun tanpa pernah ditemui itu dihalaman istana ga jauh"
"12","niluhdjelantik knp berlindung dibalik nama jokowikm yg km aja gk usah seakan sama dgn jokowi biar di bela ma pendukung jokowi gitu kah"
"13","olvaholvah jokowi menurut ngana yg nilai kan harus orang lain bukan diri sendiri"
"14","antara halusinasi dan realita relawan jokowi via kedaipenacom "
"15","andisinulingga jokowi ke keluargamu kasi pesan sok paten koe ngasi pesan ke presiden hahahahahha urus sj dirimu hahahhaha"
"16","tita saking toleran nya nkri memang agak tertinggal jauh sama negara tetngga tetapi semnjak peninggalan sukarno baru di bangkitkan kembali itu pd zaman presiden jokowi indonesia sudah melesat jauh kemana saat ini ada gerakan grombolan agar nkri menjadi mundur zaman sby lg"
"17","mpujayaprema jokowi memdingan kampanye anis saja mpu"
"18","wagimandeep jokowi laskar medan ya mbib kebanyakan minum tuak dia"
"19","olvaholvah jokowi ini pertanyaan rada oonwkwkqk"
"20","ferdyferandi jokowi mohmahfudmd listyosigitp wkekeke segetu doank level kognitif seorang kapolres"
"21",""
"22","deyisgresik tppigresik jokowi halimiskandarnu kemendespdtt ariasharie bakronhadi deyisnilfd rabdrahman muhamma kuswariaries kpwjatim pemkabgresik dpmdjatim khusairimuza thenext tppkemendes mifthulmunir bisa diinstruksikan untuk segera gabung ke apdi mas "
"23","jokowi meraih penghargaan leadership award "
"24","partaisocmed naturalmichin jokowi naturalmichin brati fix ada angin ada hujan ya ada sebab nya"
"25","doktertifa kl bu kadrun pen jls ini sosoky  bu kadrun ini persis pangeran ciracas yg sll triak bhw kondisi rkyt sdg tdk baik sj eh giliran ada gempa cianjur kicep amp ngumpet dkolong meja x jokowi kunjungi korban gempa xlcianjur amp nbagikan bantuan lha bu kadrun cm bsr bacot saja  "
"26","pks bertentangan jokowi gegara rambut putih pemimpin masa depan kholid rekam jejaknya"
"27","neohistoriaid jokowi hati hati min di serang akun bendera si paling nkri"
"28","curutonline muhammadsaewad hukumdan jokowi bekerjabukan jalan jalan "
"29","restycayah jokowi niluhdjelantik lapak loh disenen dah dinjual yah"
"30","jokowi presiden ri ganjarpranowo gub jateng erickthohir mentri bumn prabowo mentri pertahanan puanmaharaniri ketua dprri aniesbaswedan presiden bukan mentri bukan gubernur bukan ketum partai bukan pejabat daerah bukan ga bahas mantan ya"
"31","helmifelis jokowi semoaga cepat azab allah swt datangnyaamin yra"
"32","wagimandeep jokowi miskin belagugmn kl kau seandai ny sbg anak presiden uuhh uuhhh cckkk ccckkkk"
"33","tidak adanya naskah akademik yang dibicarakan bersama pemangku kepentingan dan masyarakat untuk melihat dasar filosofis sosiologis dan yuridis yang bertujuan untuk kebaikan bangsa "
"34","restycayah jokowi divhumaspolri puspentni pssi fifacom kau mabuk pembalut cuk"
"35","karsono panjianom diekclev wawan veelgeno sigromilir bonaleles winotoali uplu alamtimur biang nembenetes anwarbohebo syahriyalkamil meey topan suprayoga ntaryaa rondamedsos afridu mamattobat heryidris alekda jebenk uwongdeso wbintoro shield mahasiswigenz kemurahantuhan kmen mantova wandystjk dwynur salimbonim akamas juniwun aesthetickan nkrihar lovetoba antonku alan azq giofarubi imammursyalin bentir pardoaganis mansurmhd winoto bpsdkijakarta pksejahtera klo ini memang benar mana beritanya mas klo memang tidak benar berarti mas sudah ngehix dan fitnah pak jokowi dan kami relawan mas klo masih panas nyebur kesumur mas sebaiknya "
"36",""
"37","ganjarpranowo wah bapak gak ubanan berarti gak mikirin rakyat sumpah tanya aja sama pak jokowi"
"38","rambut putih pilihan jokowi "
"39","bersurat ke jokowi ini protes organisasi profesi yang tolak ruu kesehatan "
"40","bobbietrussell maryshelparaiso kebijakan presiden jokowi kami bangga dengan pak dhe jokowi jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"41","joksuper valkyrie dzakysafaraz pencerah perkembangan jaman kebutuhan sesuai perkembangan jaman dan teknologi bukan kemajuan karena pemerintah walaupun bukan jokowi presiden juga jaman ini tetap akan terjadi "
"42","tifsembiring siapa yg teriak pak kalau relawan yg teriak itu sma status nya dengan mereka yg teriak jokowi mundur sama melanggar konstitusi"
"43","detikcom apakah dana apbn dipakai tuk acara tdk bermanfaat amp ngibul ngibul jokowi contoh pemimpin gagal"
"44","jokowi benarkah pak info "
"45","poljokesid jokowi yes mantap pilihan pilpres nanti setelah pak jokowi memberikan clue pilpres ada rambut putih setelah pak prabowo kini pak jokowi memberi ciri rambut putih yaitu pak ganjar mngkn mereka akan jadi capres cawapres"
"46","edhofachreza antek jokowi duit rb doang diributin sian"
"47","anakogi negerikolam ceuneh jokowi hanjenifd wagimandeep iya bener lagi rame soal itu kadrun kejang lat pendukung jokowi sebanyak itu langsung di sebar hoax kaya gitu di suruh ngasih bukti kongkrit ga ada yg bisa cuma katanya begini begitu doang"
"48","pengarangsajak sebab apapun langkah jokowi sdh dianggap mengencingi muka mereka "
"49","presiden joko widodo menyambut para pemimpin negara g dan lembaga internasional saat mengunjungi taman hutan raya tahura ngurah rai kota denpasar provinsi bali pada rabu november jokowi part foto muchlis jr biro pers sekretariat presiden "
"50","andisinulingga jokowi maksud lu bapak lgbt "
"51","abuwaras jenenge lambe warasisine ora waras babar blasss jokowi memang tdk bisa menentukan capres yg pakdhe sampaikan kemaren clue pilihan pakdhe kepada para relawannya sampeyan nek ora ngerti lan ora pahamtakon sik lahhngisin ngisine wae cah iki ora godhak babar blas"
"52","mrryzze daybynday kaesangp mungkin dia rada terkenal karena suaranya mirip pak jokowi"
"53","seruanhl lha iya ngapain kadrun ikutan ngurusi jokowi yang berhak ngurusi petugas partai ya tentu pdip saja "
"54","dinas lingkungan lh dki jakarta melaporkan ada ton sampah selama berlangsungnya acara gerakan nusantara yang digelar oleh relawan jokowi kumparannews newsupdate "
