"","klasifikasi","score","text"
"1","Positif",1,"oposisicerdas kalo dana nya masih banyak yg blom kepake buruan dihabisi duitnya mumpung pak jokowi masih presiden nyesel ntar bego lagi"
"2","Positif",1,"helmifelis sak cangkem cangkem mu liz ora ono dampak eee nggo pendukunge jokowimalah semakin solid diolehi kowe el nyangkem soal jokowi"
"3","Netral",0,"pdjamanow tberdesa jokowi halimiskandarnu gumintost nurnaqu ahmadmoker aminudinfahrud cilin prisidin rimbitnyi pitih pitih li mis "
"4","Negatif",-2,"ide sampah relawan projo presiden jokowi periode sampah demokrasi "
"5","Netral",0,"bambang demangsinuhun restycayah jokowi ya kalo di lihat dr konstitusi ga boleh tapi apa boleh buat namanya juga penguasa kekuatan nya ada di tangan mereka apalagi oligarki ada di belakang mereka cuman pertanyaan apakah ada keuntungan nya buat km mas bambang kalo jokowi periode"
"6","Positif",1,"miduk jgnkan anis baswedan ir soekarno sd jokowi jelss memdukung palestina merdeka sesuai konstitusi yg berlaku ri yg hrs di hindari itu capres pendukung lgbt laknatullah pembawa bencana di seluruh indonesia duk bong "
"7","Negatif",-1,"kaeluvsz petualangan jokowi"
"8","Netral",0,"agusta puthutea jokowi ga heran akun berbendera"
"9","Positif",1,"bobbietrussell ridwana maryshelparaiso mantap terima kasih pak jokowi salam dari surabaya jokowipresidenku pembangunanuntukrakyat presidenjokowihebat jokowimembangunnegeri jokowimajubersamaindonesia nkrimajubersamajokowi "
"10","Negatif",-1,"jakarta presiden joko widodo melakukan kunjungan di jalan nasional cugenang cijedil desa palalangon pasca terjadinya bencana alam gempa bumi smashnews beritaterbaru beritaterkini beritaterupdate kabarterbaru gempabumi presidenjokowi bencanaalam "
"11","Negatif",-5,"jokowi rakyat setiap kamis sore selalu datang di depan istana tak pernah ditemui kok bicara juta rakyat indonesia yg di depan istana aja dr yg awalnya di depam pagar semakin di geser sampai seberang jalan itu pun tanpa pernah ditemui itu dihalaman istana ga jauh"
"12","Netral",0,"niluhdjelantik knp berlindung dibalik nama jokowikm yg km aja gk usah seakan sama dgn jokowi biar di bela ma pendukung jokowi gitu kah"
"13","Negatif",-2,"olvaholvah jokowi menurut ngana yg nilai kan harus orang lain bukan diri sendiri"
"14","Negatif",-1,"antara halusinasi dan realita relawan jokowi via kedaipenacom "
"15","Positif",2,"andisinulingga jokowi ke keluargamu kasi pesan sok paten koe ngasi pesan ke presiden hahahahahha urus sj dirimu hahahhaha"
"16","Negatif",-5,"tita saking toleran nya nkri memang agak tertinggal jauh sama negara tetngga tetapi semnjak peninggalan sukarno baru di bangkitkan kembali itu pd zaman presiden jokowi indonesia sudah melesat jauh kemana saat ini ada gerakan grombolan agar nkri menjadi mundur zaman sby lg"
"17","Negatif",-1,"mpujayaprema jokowi memdingan kampanye anis saja mpu"
"18","Negatif",-1,"wagimandeep jokowi laskar medan ya mbib kebanyakan minum tuak dia"
"19","Netral",0,"olvaholvah jokowi ini pertanyaan rada oonwkwkqk"
"20","Netral",0,"ferdyferandi jokowi mohmahfudmd listyosigitp wkekeke segetu doank level kognitif seorang kapolres"
"21","Netral",0,""
"22","Positif",1,"deyisgresik tppigresik jokowi halimiskandarnu kemendespdtt ariasharie bakronhadi deyisnilfd rabdrahman muhamma kuswariaries kpwjatim pemkabgresik dpmdjatim khusairimuza thenext tppkemendes mifthulmunir bisa diinstruksikan untuk segera gabung ke apdi mas "
"23","Positif",1,"jokowi meraih penghargaan leadership award "
"24","Netral",0,"partaisocmed naturalmichin jokowi naturalmichin brati fix ada angin ada hujan ya ada sebab nya"
"25","Netral",0,"doktertifa kl bu kadrun pen jls ini sosoky  bu kadrun ini persis pangeran ciracas yg sll triak bhw kondisi rkyt sdg tdk baik sj eh giliran ada gempa cianjur kicep amp ngumpet dkolong meja x jokowi kunjungi korban gempa xlcianjur amp nbagikan bantuan lha bu kadrun cm bsr bacot saja  "
"26","Negatif",-1,"pks bertentangan jokowi gegara rambut putih pemimpin masa depan kholid rekam jejaknya"
"27","Netral",0,"neohistoriaid jokowi hati hati min di serang akun bendera si paling nkri"
"28","Negatif",-2,"curutonline muhammadsaewad hukumdan jokowi bekerjabukan jalan jalan "
"29","Netral",0,"restycayah jokowi niluhdjelantik lapak loh disenen dah dinjual yah"
"30","Negatif",-7,"jokowi presiden ri ganjarpranowo gub jateng erickthohir mentri bumn prabowo mentri pertahanan puanmaharaniri ketua dprri aniesbaswedan presiden bukan mentri bukan gubernur bukan ketum partai bukan pejabat daerah bukan ga bahas mantan ya"
"31","Positif",1,"helmifelis jokowi semoaga cepat azab allah swt datangnyaamin yra"
"32","Negatif",-1,"wagimandeep jokowi miskin belagugmn kl kau seandai ny sbg anak presiden uuhh uuhhh cckkk ccckkkk"
"33","Negatif",-3,"tidak adanya naskah akademik yang dibicarakan bersama pemangku kepentingan dan masyarakat untuk melihat dasar filosofis sosiologis dan yuridis yang bertujuan untuk kebaikan bangsa "
"34","Negatif",-1,"restycayah jokowi divhumaspolri puspentni pssi fifacom kau mabuk pembalut cuk"
"35","Negatif",-3,"karsono panjianom diekclev wawan veelgeno sigromilir bonaleles winotoali uplu alamtimur biang nembenetes anwarbohebo syahriyalkamil meey topan suprayoga ntaryaa rondamedsos afridu mamattobat heryidris alekda jebenk uwongdeso wbintoro shield mahasiswigenz kemurahantuhan kmen mantova wandystjk dwynur salimbonim akamas juniwun aesthetickan nkrihar lovetoba antonku alan azq giofarubi imammursyalin bentir pardoaganis mansurmhd winoto bpsdkijakarta pksejahtera klo ini memang benar mana beritanya mas klo memang tidak benar berarti mas sudah ngehix dan fitnah pak jokowi dan kami relawan mas klo masih panas nyebur kesumur mas sebaiknya "
"36","Netral",0,""
